Radius,Mean Normal EW3ZPN
-750.0,1e-05
-745.0,1e-05
-740.0,1e-05
-735.0,1e-05
-730.0,1e-05
-725.0,1e-05
-720.0,1e-05
-715.0,1e-05
-710.0,1e-05
-705.0,1e-05
-700.0,1e-05
-695.0,1e-05
-690.0,1e-05
-685.0,1e-05
-680.0,1e-05
-675.0,1e-05
-670.0,1e-05
-665.0,1e-05
-660.0,1e-05
-655.0,1e-05
-650.0,1e-05
-645.0,1e-05
-640.0,1e-05
-635.0,2e-05
-630.0,2e-05
-625.0,2e-05
-620.0,2e-05
-615.0,2e-05
-610.0,2e-05
-605.0,2e-05
-600.0,2e-05
-595.0,2e-05
-590.0,2e-05
-585.0,2e-05
-580.0,2e-05
-575.0,2e-05
-570.0,2e-05
-565.0,2e-05
-560.0,2e-05
-555.0,2e-05
-550.0,3e-05
-545.0,3e-05
-540.0,3e-05
-535.0,3e-05
-530.0,3e-05
-525.0,3e-05
-520.0,3e-05
-515.0,3e-05
-510.0,3e-05
-505.0,3e-05
-500.0,3e-05
-495.0,4e-05
-490.0,4e-05
-485.0,4e-05
-480.0,4e-05
-475.0,4e-05
-470.0,4e-05
-465.0,4e-05
-460.0,4e-05
-455.0,5e-05
-450.0,5e-05
-445.0,5e-05
-440.0,5e-05
-435.0,5e-05
-430.0,5e-05
-425.0,6e-05
-420.0,6e-05
-415.0,6e-05
-410.0,6e-05
-405.0,7e-05
-400.0,7e-05
-395.0,7e-05
-390.0,7e-05
-385.0,8e-05
-380.0,8e-05
-375.0,8e-05
-370.0,8e-05
-365.0,9e-05
-360.0,9e-05
-355.0,9e-05
-350.0,0.0001
-345.0,0.0001
-340.0,0.00011
-335.0,0.00011
-330.0,0.00012
-325.0,0.00012
-320.0,0.00013
-315.0,0.00013
-310.0,0.00014
-305.0,0.00014
-300.0,0.00015
-295.0,0.00015
-290.0,0.00016
-285.0,0.00017
-280.0,0.00018
-275.0,0.00018
-270.0,0.00019
-265.0,0.0002
-260.0,0.00021
-255.0,0.00022
-250.0,0.00023
-245.0,0.00024
-240.0,0.00025
-235.0,0.00026
-230.0,0.00027
-225.0,0.00028
-220.0,0.00029
-215.0,0.0003
-210.0,0.00031
-205.0,0.00032
-200.0,0.00033
-195.0,0.00035
-190.0,0.00036
-185.0,0.00037
-180.0,0.00038
-175.0,0.0004
-170.0,0.00041
-165.0,0.00042
-160.0,0.00043
-155.0,0.00045
-150.0,0.00046
-145.0,0.00047
-140.0,0.00048
-135.0,0.00049
-130.0,0.0005
-125.0,0.00051
-120.0,0.00052
-115.0,0.00053
-110.0,0.00054
-105.0,0.00054
-100.0,0.00055
-95.0,0.00056
-90.0,0.00057
-85.0,0.00058
-80.0,0.00059
-75.0,0.00061
-70.0,0.00063
-65.0,0.00066
-60.0,0.0007
-55.0,0.00075
-50.0,0.00084
-45.0,0.00096
-40.0,0.00112
-35.0,0.00134
-30.0,0.0016
-25.0,0.0019
-20.0,0.00221
-15.0,0.00249
-10.0,0.00271
-5.0,0.00284
0.0,0.00287
5.0,0.00279
10.0,0.0026
15.0,0.00233
20.0,0.00202
25.0,0.00172
30.0,0.00144
35.0,0.00122
40.0,0.00105
45.0,0.00093
50.0,0.00085
55.0,0.0008
60.0,0.00076
65.0,0.00073
70.0,0.0007
75.0,0.00067
80.0,0.00065
85.0,0.00062
90.0,0.00059
95.0,0.00056
100.0,0.00053
105.0,0.0005
110.0,0.00047
115.0,0.00044
120.0,0.00041
125.0,0.00039
130.0,0.00036
135.0,0.00034
140.0,0.00032
145.0,0.0003
150.0,0.00028
155.0,0.00026
160.0,0.00025
165.0,0.00023
170.0,0.00022
175.0,0.00021
180.0,0.00019
185.0,0.00018
190.0,0.00017
195.0,0.00016
200.0,0.00015
205.0,0.00015
210.0,0.00014
215.0,0.00013
220.0,0.00012
225.0,0.00012
230.0,0.00011
235.0,0.00011
240.0,0.0001
245.0,0.0001
250.0,9e-05
255.0,9e-05
260.0,8e-05
265.0,8e-05
270.0,7e-05
275.0,7e-05
280.0,7e-05
285.0,6e-05
290.0,6e-05
295.0,6e-05
300.0,5e-05
305.0,5e-05
310.0,5e-05
315.0,5e-05
320.0,4e-05
325.0,4e-05
330.0,4e-05
335.0,4e-05
340.0,3e-05
345.0,3e-05
350.0,3e-05
355.0,3e-05
360.0,3e-05
365.0,3e-05
370.0,2e-05
375.0,2e-05
380.0,2e-05
385.0,2e-05
390.0,2e-05
395.0,2e-05
400.0,2e-05
405.0,2e-05
410.0,2e-05
415.0,1e-05
420.0,1e-05
425.0,1e-05
430.0,1e-05
435.0,1e-05
440.0,1e-05
445.0,1e-05
450.0,1e-05
455.0,1e-05
460.0,1e-05
465.0,1e-05
470.0,1e-05
475.0,1e-05
480.0,1e-05
485.0,1e-05
490.0,1e-05
495.0,1e-05
500.0,0.0
505.0,0.0
510.0,0.0
515.0,0.0
520.0,0.0
525.0,0.0
530.0,0.0
535.0,0.0
540.0,0.0
545.0,0.0
550.0,0.0
555.0,0.0
560.0,0.0
565.0,0.0
570.0,0.0
575.0,0.0
580.0,0.0
585.0,0.0
590.0,0.0
595.0,0.0
600.0,0.0
605.0,0.0
610.0,0.0
615.0,-0.0
620.0,-0.0
625.0,-0.0
630.0,-0.0
635.0,-0.0
640.0,-0.0
645.0,-0.0
650.0,-0.0
655.0,-0.0
660.0,-0.0
665.0,-0.0
670.0,-0.0
675.0,-0.0
680.0,-0.0
685.0,-0.0
690.0,-0.0
695.0,-0.0
700.0,-0.0
705.0,-0.0
710.0,-0.0
715.0,-0.0
720.0,-0.0
725.0,-0.0
730.0,-0.0
735.0,-0.0
740.0,-0.0
745.0,-0.0
