Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std
ISS_000RI_SATSRCHAP001_PRIME,0,18000,2004-06-20T20:03:28,0.0,359.98,38.196,61.67,41.729,67.141,67.351,67.308,73.763,73.946,73.911,65.45,100.0,2.2495,0.70215,0.6234,0.1945,0.31557,0.05419,0.08745,0.01499,1.43138,0.61523,0.39668,0.17045,0.50255,0.14867,0.13927,0.04118
ISS_006RI_LPHRLFMOV001_PRIME,0,17335,2005-04-13T02:37:52,0.0,359.98,5.923,16.442,7.041,31.15,39.419,35.554,83.151,83.713,83.452,67.982,96.30555555555556,4.01741,0.76484,0.45796,0.08745,0.92843,0.27222,0.10546,0.02935,2.67951,0.829,0.30577,0.09561,0.40947,0.03544,0.04673,0.00465
ISS_007RI_HPMRDFMOV001_PRIME,0,13029,2005-05-03T22:29:04,0.0,359.98,4.329,11.616,5.4,117.135,132.132,123.492,93.807,98.353,95.762,68.187,72.38333333333333,9.45168,1.45101,0.95853,0.31017,2.17833,0.58633,0.20596,0.01053,5.54405,1.77568,0.58405,0.30301,1.7293,0.24685,0.16853,0.02101
ISS_007RI_LPHRLFMOV001_PRIME,0,11401,2005-05-01T04:07:28,0.0,359.98,6.252,7.685,7.003,29.889,35.79,33.598,68.62,69.583,69.034,68.16,63.33888888888889,1.19041,0.34768,0.42591,0.12465,0.15475,0.03253,0.05536,0.01167,0.83155,0.34319,0.29765,0.12342,0.20411,0.05521,0.0729,0.01914
ISS_00ARI_SPKMOVPER001_PRIME,0,17230,2004-11-15T08:52:32,13.6,358.18,27.04,45.259,29.494,84.213,84.906,84.573,77.211,77.44,77.322,66.603,95.72222222222221,2.68747,0.60501,0.58979,0.13263,0.33187,0.04378,0.07283,0.00961,1.66392,0.56664,0.36513,0.1242,0.69168,0.30855,0.15183,0.06787
ISS_029RF_FMOVIE001_VIMS,0,16858,2006-09-28T20:32:15,0.94,338.08,9.415,10.431,9.882,158.301,161.915,160.131,120.74,122.667,121.746,74.335,93.65555555555557,10.84463,2.3338,5.69694,1.18831,2.39341,0.171,1.25821,0.07596,6.12839,2.0632,3.21765,1.06727,2.32283,0.38555,1.22107,0.19539
ISS_029RF_FMOVIE002_VIMS,0,10685,2006-09-30T00:32:15,0.0,359.98,11.066,11.545,11.278,158.804,161.012,159.932,118.488,119.568,118.991,74.349,59.36111111111111,11.58294,2.16441,5.60715,1.01287,3.08388,0.14706,1.49436,0.06567,7.26988,1.97741,3.51745,0.93572,1.22919,0.11376,0.59535,0.05084
ISS_030RF_FMOVIE001_VIMS,0,9616,2006-10-16T01:34:07,0.0,359.98,10.425,10.866,10.629,150.449,152.596,151.523,130.151,131.516,130.85,74.566,53.422222222222224,5.69508,1.03654,3.725,0.67782,1.16749,0.07181,0.76339,0.04336,3.3062,0.94776,2.16279,0.62012,1.22139,0.18067,0.79881,0.11838
ISS_031RF_FMOVIE001_VIMS,0,16737,2006-10-31T18:37:35,0.0,359.98,9.339,9.822,9.591,156.15,160.32,158.297,124.792,128.279,126.522,74.784,92.98333333333333,8.70545,1.27511,5.17898,0.76044,2.24345,0.27819,1.33136,0.13505,4.97615,1.26763,2.96457,0.77066,1.48585,0.15126,0.88305,0.08205
ISS_032RF_FMOVIE001_VIMS,0,16730,2006-11-12T17:53:35,0.0,359.98,9.308,9.793,9.562,155.705,159.978,157.907,124.903,128.405,126.636,74.949,92.94444444444444,8.49335,1.69946,5.05429,0.94471,2.14264,0.2055,1.27582,0.09744,4.63379,1.48883,2.75554,0.8557,1.71693,0.19651,1.02293,0.10577
ISS_033RF_FMOVIE001_VIMS,0,17166,2006-11-25T16:52:47,0.0,359.98,10.04,10.408,10.174,159.649,160.813,160.266,119.085,122.613,120.886,75.128,95.36666666666666,10.86615,1.5425,5.56991,0.75872,2.91796,0.12706,1.49678,0.05711,6.17966,1.57793,3.16528,0.79286,1.76853,0.0979,0.90785,0.05798
ISS_036RF_FMOVIE001_VIMS,0,18000,2006-12-23T09:43:43,0.0,359.98,11.699,11.85,11.773,158.585,161.006,159.767,122.63,125.777,124.287,75.513,100.0,11.38567,4.47397,6.42705,2.62254,3.22549,1.95501,1.82418,1.14595,7.01537,2.7431,3.95578,1.59088,1.14481,0.49171,0.64709,0.28965
ISS_036RF_FMOVIE002_VIMS,0,16046,2007-01-05T14:31:59,0.0,359.98,10.175,10.557,10.362,131.067,135.709,133.367,143.631,145.695,144.777,75.696,89.14444444444445,2.69685,2.34503,2.19939,1.90496,0.82057,1.53336,0.66868,1.24712,1.5158,1.02457,1.23654,0.83153,0.36048,0.13594,0.29416,0.10984
ISS_039RF_FMOVIE001_VIMS,0,18000,2007-02-27T07:18:39,0.0,359.98,10.153,10.245,10.194,101.403,108.096,104.843,143.666,146.751,145.321,76.44,100.0,1.48794,0.80804,1.21979,0.65327,0.2138,0.07766,0.17567,0.06294,0.98255,0.65422,0.80499,0.52997,0.2916,0.21638,0.23913,0.1758
ISS_039RF_FMOVIE002_VIMS,0,16520,2007-02-10T11:47:11,0.0,359.98,10.222,10.287,10.255,125.326,131.163,128.211,146.776,148.766,147.939,76.201,91.77777777777779,2.31899,1.38693,1.96358,1.1725,0.46707,0.43116,0.39583,0.36527,1.41683,0.91688,1.19966,0.77499,0.43509,0.35238,0.36809,0.29756
ISS_039RF_FMOVIE003_VIMS,0,3535,2007-02-11T15:43:11,74.0,144.68,10.106,10.164,10.132,136.474,137.878,137.127,143.367,144.375,143.942,76.211,19.63888888888889,2.2874,0.31603,1.84906,0.25469,0.41695,0.0243,0.33703,0.01889,1.33221,0.30117,1.07683,0.2428,0.53824,0.045,0.4352,0.03732
ISS_041RF_FMOVIE001_VIMS,0,15410,2007-03-31T09:35:11,44.0,352.18,11.851,11.957,11.863,82.179,85.653,83.939,128.183,130.514,129.406,76.896,85.61111111111111,1.7403,0.74028,1.10166,0.46059,0.44269,0.38595,0.27911,0.24058,1.07942,0.57695,0.68384,0.36214,0.21819,0.06828,0.13871,0.04389
ISS_041RF_FMOVIE002_VIMS,0,18000,2007-03-17T03:49:19,0.0,359.98,10.416,10.754,10.593,106.21,111.872,109.034,143.602,145.442,144.574,76.694,100.0,1.63495,0.84601,1.33131,0.6861,0.32071,0.19592,0.26095,0.15849,1.04126,0.68863,0.84783,0.55902,0.27297,0.13968,0.22253,0.11384
ISS_043RF_FMOVIE001_VIMS,0,17830,2007-04-18T03:26:39,0.0,359.98,12.019,12.323,12.172,83.668,87.286,85.497,125.62,127.654,126.643,77.153,99.05555555555556,1.76122,0.76105,1.05137,0.45476,0.47249,0.40646,0.28144,0.242,1.04446,0.55645,0.62402,0.33329,0.24427,0.05595,0.1459,0.03407
ISS_044RF_FMOVIE001_VIMS,0,18000,2007-05-05T04:51:11,0.0,359.98,11.896,12.369,12.136,80.254,83.496,81.885,118.64,120.156,119.404,77.399,100.0,2.02404,0.70312,0.99593,0.35531,0.48338,0.33991,0.23881,0.17041,1.19695,0.65592,0.58871,0.32732,0.34371,0.0837,0.16841,0.03978
ISS_051RI_LPMRDFMOV001_PRIME,0,15876,2007-10-18T21:11:11,0.0,359.98,17.492,82.404,29.78,54.899,57.003,56.086,93.996,94.141,94.081,79.85,88.2,7.89023,1.36288,0.56116,0.09504,1.54087,0.31206,0.10961,0.02187,4.15153,1.10561,0.29522,0.07766,2.19782,0.54107,0.15633,0.03818
ISS_055RF_FMOVIE001_VIMS,0,16438,2007-12-31T15:47:27,24.94,353.68,9.032,10.012,9.511,62.879,67.796,65.263,122.066,123.774,122.906,80.96,91.32222222222222,1.14748,0.25332,0.62368,0.13953,0.36833,0.0825,0.20008,0.04517,0.60317,0.24304,0.32805,0.13337,0.17598,0.01536,0.09556,0.00795
ISS_055RI_LPMRDFMOV001_PRIME,0,18000,2008-01-07T08:07:59,0.0,359.98,9.418,10.141,9.799,19.03,22.698,20.902,99.563,102.615,101.133,81.063,100.0,2.93424,0.45432,0.5654,0.09364,0.99586,0.18469,0.19111,0.03434,1.38095,0.43703,0.26756,0.093,0.55743,0.06442,0.10673,0.00558
ISS_057RF_FMOVIE001_VIMS,0,16117,2008-01-23T14:10:23,0.0,359.98,9.782,10.452,10.033,42.464,46.135,44.255,117.107,119.432,118.249,81.308,89.53888888888889,1.21252,0.27762,0.5735,0.12941,0.36701,0.08547,0.17343,0.03928,0.61778,0.2592,0.29239,0.12246,0.22774,0.0435,0.10767,0.01958
ISS_059RF_FMOVIE001_VIMS,0,16612,2008-02-17T12:25:03,0.0,359.98,8.524,9.349,8.935,42.97,47.116,44.965,121.279,124.365,122.766,81.687,92.28888888888889,1.09113,0.31713,0.59023,0.17015,0.34909,0.07273,0.18883,0.03915,0.63294,0.31013,0.34236,0.16686,0.10909,0.01362,0.05904,0.00744
ISS_059RF_FMOVIE002_VIMS,0,18000,2008-02-24T12:27:11,0.0,359.98,9.266,10.376,9.477,23.656,26.862,25.226,104.391,108.35,106.388,81.794,100.0,2.06067,0.4119,0.58057,0.12119,0.68159,0.13879,0.19084,0.03339,1.08654,0.41805,0.30751,0.12312,0.29253,0.02992,0.08221,0.00741
ISS_061RI_LPMRDFMOV001_PRIME,0,10861,2008-03-15T10:14:07,139.08,356.28,7.988,22.225,9.049,12.616,15.163,13.916,94.207,97.141,95.731,82.093,60.33888888888889,5.25797,1.06681,0.51041,0.05834,1.53624,0.38169,0.14799,0.0173,2.70544,0.67409,0.26381,0.05452,1.01629,0.18376,0.09861,0.00526
ISS_068RF_FMOVIE001_VIMS,0,8301,2008-05-15T23:55:27,0.0,359.98,5.377,6.568,6.042,44.146,56.186,49.294,126.222,136.356,130.643,83.037,46.11666666666667,0.79662,0.1281,0.51822,0.08928,0.26328,0.03877,0.17112,0.02654,0.39727,0.12182,0.25869,0.08229,0.13607,0.0081,0.08841,0.00592
ISS_075RF_FMOVIE002_VIMS,0,17932,2008-07-05T01:53:35,0.0,359.98,6.013,6.885,6.475,28.938,37.32,32.89,112.495,121.122,116.617,83.807,99.62222222222222,1.14735,0.16776,0.51203,0.07862,0.28855,0.05146,0.1279,0.017,0.63948,0.14911,0.28662,0.07463,0.21932,0.02921,0.09751,0.01025
ISS_079RF_FRINGMRLF002_PRIME,0,11291,2008-08-06T01:42:23,79.6,305.4,8.635,13.675,10.894,21.175,28.065,24.347,63.588,72.51,68.244,84.295,62.72777777777778,1.63957,0.44302,0.60493,0.17208,0.43273,0.10703,0.15755,0.03016,1.00461,0.39866,0.37331,0.15805,0.20223,0.02616,0.07407,0.00672
ISS_080RF_FMOVIE005_PRIME,0,5213,2008-08-14T06:50:39,66.74,170.98,6.609,14.91,7.207,14.243,15.013,14.542,81.263,83.724,82.548,84.419,28.96111111111111,3.5521,0.54351,0.45729,0.06285,1.27987,0.23618,0.16403,0.02389,1.85304,0.44962,0.23968,0.05959,0.41918,0.07758,0.05358,0.00573
ISS_081RI_FMOVIE106_VIMS,0,15915,2008-08-20T00:36:15,0.0,359.98,3.466,4.928,4.228,29.143,47.495,37.117,39.289,60.611,51.215,84.513,88.41666666666667,0.87717,0.2341,0.53502,0.11689,0.27713,0.05736,0.17002,0.03037,0.50784,0.1957,0.30884,0.1061,0.09219,0.02289,0.05616,0.01017
ISS_083RI_FMOVIE109_VIMS,0,15995,2008-08-30T16:19:11,31.78,351.66,6.956,7.7,7.119,20.905,26.548,23.624,103.18,110.271,106.689,84.677,88.86111111111111,1.83861,0.51703,0.51603,0.11782,0.60535,0.13523,0.17027,0.02593,0.98947,0.41389,0.27688,0.10529,0.2438,0.05962,0.06888,0.01472
ISS_085RF_FMOVIE003_PRIME_1,0,9055,2008-09-15T23:01:19,65.92,248.78,5.248,5.789,5.519,41.461,48.005,44.65,126.377,132.641,129.466,84.925,50.30555555555556,0.81212,0.20384,0.51255,0.11498,0.24775,0.02788,0.15716,0.01681,0.42387,0.1836,0.2665,0.10836,0.1405,0.03999,0.08889,0.02376
ISS_085RF_FMOVIE003_PRIME_2,0,6245,2008-09-16T06:34:07,120.46,245.34,5.287,6.073,5.641,48.221,53.0,50.582,130.326,135.655,132.95,84.928,34.69444444444444,0.77332,0.17979,0.52426,0.11176,0.2063,0.02756,0.14017,0.01643,0.44467,0.16663,0.30075,0.10754,0.12235,0.00838,0.08333,0.00607
ISS_087RF_FMOVIE003_PRIME,0,13961,2008-09-30T16:28:15,0.0,359.98,4.905,5.855,5.388,44.651,54.237,49.155,125.562,136.736,130.89,85.155,77.56111111111112,0.83552,0.17097,0.54873,0.12842,0.23303,0.04532,0.15199,0.02796,0.4793,0.16101,0.31633,0.1161,0.1232,0.0062,0.08042,0.00506
ISS_089RF_FMOVIE003_PRIME,0,14613,2008-10-14T22:37:51,0.0,359.98,5.66,6.458,6.052,38.92,46.087,42.326,117.97,127.251,122.475,85.375,81.18333333333332,1.04096,0.20358,0.55925,0.11809,0.32245,0.06296,0.17184,0.02908,0.58759,0.19141,0.31735,0.10912,0.13092,0.0088,0.07006,0.00512
ISS_091RF_FMOVIE003_PRIME,0,15376,2008-10-29T20:23:27,27.78,335.28,5.749,8.673,7.143,43.519,55.778,49.204,127.867,141.26,134.18,85.606,85.42222222222222,1.06191,0.32123,0.7286,0.19397,0.30096,0.06787,0.2075,0.04025,0.57054,0.28467,0.3897,0.18449,0.19041,0.03074,0.1314,0.01747
ISS_092RF_FMOVIE003_PRIME,0,3514,2008-11-07T03:06:39,230.4,300.66,5.826,6.169,5.957,48.894,51.155,50.107,132.839,135.374,134.18,85.728,19.522222222222222,0.79819,0.11557,0.55638,0.0819,0.24164,0.02841,0.16831,0.01914,0.46624,0.11354,0.32512,0.08014,0.09031,0.00736,0.06295,0.00535
ISS_093RF_FMOVIE003_PRIME,0,11328,2008-11-14T15:06:39,0.0,359.98,6.052,6.615,6.343,40.236,46.93,43.472,126.077,132.494,129.22,85.848,62.93333333333333,0.80856,0.10947,0.51166,0.07613,0.19818,0.01652,0.12516,0.01083,0.47195,0.10512,0.29909,0.07051,0.13843,0.00799,0.0874,0.00488
ISS_094RF_FMOVIE001_PRIME_1,0,8630,2008-11-21T21:26:55,0.0,359.98,6.23,6.567,6.408,36.091,41.009,38.492,121.865,126.966,124.38,85.959,47.94444444444444,0.80038,0.10231,0.45169,0.0592,0.2061,0.01688,0.11636,0.01055,0.44464,0.09572,0.25105,0.05518,0.14965,0.01662,0.08427,0.00788
ISS_094RF_FMOVIE001_PRIME_2,0,4610,2008-11-22T04:36:47,81.96,175.66,6.362,6.926,6.626,43.731,46.363,45.016,125.857,129.081,127.435,85.961,25.61111111111111,0.72184,0.11021,0.43862,0.06707,0.25332,0.03311,0.15404,0.02088,0.32884,0.11029,0.19984,0.06717,0.13968,0.0199,0.08474,0.01106
ISS_096RF_FMOVIE004_PRIME,0,15282,2008-12-10T18:01:03,0.0,359.98,3.797,5.276,4.507,52.913,74.093,62.569,17.417,40.63,29.944,86.254,84.89999999999999,0.60455,0.08801,0.52178,0.09137,0.15963,0.02018,0.13717,0.01748,0.35702,0.08269,0.309,0.08026,0.0879,0.00775,0.07561,0.00785
ISS_100RF_FMOVIE003_PRIME,0,13338,2009-01-11T10:41:34,6.44,273.18,5.85,6.291,6.078,36.25,47.223,41.527,122.902,133.626,128.182,86.743,74.1,0.73102,0.11076,0.44959,0.06397,0.25296,0.03741,0.1562,0.02575,0.37207,0.09797,0.22816,0.05608,0.106,0.01096,0.06523,0.00652
ISS_103RF_FMOVIE003_PRIME,0,11471,2009-02-10T14:28:46,0.0,359.98,6.205,6.445,6.327,69.849,82.182,75.983,150.193,155.545,153.128,87.209,63.72777777777778,0.73445,0.17639,0.6545,0.15561,0.21033,0.0402,0.18745,0.03544,0.4197,0.16842,0.37392,0.14926,0.10443,0.00574,0.09312,0.0054
ISS_104RF_FMOVIE003_PRIME,0,3181,2009-02-25T00:06:54,0.0,359.98,5.011,5.11,5.039,142.832,146.622,144.782,112.185,116.398,114.288,87.426,17.672222222222224,6.06193,1.09585,2.47449,0.34727,2.01409,0.28459,0.82371,0.08713,3.13378,0.84135,1.27586,0.29589,0.91406,0.05485,0.37493,0.00921
ISS_105RF_FMOVIE002_PRIME,0,14099,2009-03-11T11:51:58,0.0,359.98,5.323,5.658,5.487,98.879,112.068,105.575,23.153,25.639,23.899,87.657,78.32777777777777,0.89085,0.22124,0.81463,0.20337,0.2685,0.04475,0.24542,0.04059,0.47479,0.21248,0.43433,0.19502,0.14755,0.01781,0.13488,0.01615
ISS_105RF_FMOVIE003_PRIME,0,5474,2009-03-04T08:46:54,0.0,359.98,7.078,7.235,7.095,33.541,35.013,34.259,110.73,114.441,112.583,87.541,30.41111111111111,1.28013,0.17333,0.49313,0.08154,0.41897,0.0428,0.16066,0.01603,0.68094,0.18373,0.26335,0.07931,0.18023,0.01188,0.06911,0.00431
ISS_106RF_FMOVIE002_PRIME,0,13552,2009-03-23T11:07:10,0.0,359.98,5.312,5.638,5.472,99.884,112.456,106.237,23.128,25.736,23.85,87.842,75.28888888888889,0.89377,0.30363,0.81686,0.27532,0.24166,0.03851,0.22097,0.035,0.50824,0.2722,0.46439,0.24752,0.14387,0.03427,0.1315,0.03091
