OPUS ID             ,Primary File Spec                         ,Target       ,Start Time              ,Phase Angle ,Duration ,Observed Ring Radius (Min) [Ring] (km) ,Observed Ring Radius (Max) [Ring] (km) ,Observed J2000 Longitude (Min) [Ring] (degrees) ,Observed J2000 Longitude (Max) [Ring] (degrees) ,Observed Resolution (Min) [Ring] (km/pixel) ,Observed Resolution (Max) [Ring] (km/pixel) ,Observed Emission Angle (Min) [Ring] (degrees) ,Observed Emission Angle (Max) [Ring] (degrees) ,Observed Incidence Angle (Min) [Ring] (degrees) ,Note
Xvg-iss-2-s-c4366744 ,VGISS_6210/DATA/C43667XX/C4366744_RAW.LBL ,Saturn Rings ,1981-08-14T21:05:35.040 ,      7.44  ,    0.96 ,                             60382.315 ,                            376396.16  ,                                        206.377 ,                                        359.524 ,                                  103.48541 ,                                  108.27144 ,                                        78.971 ,                                        79.465 ,                                         82.1   ,Ring movie to observe spokes; alternative TARGET_NAME = SATURN
Xvg-iss-2-s-c4366756 ,VGISS_6210/DATA/C43667XX/C4366756_RAW.LBL ,Saturn Rings ,1981-08-14T21:15:11.040 ,      6.532 ,    0.96 ,                             60273.857 ,                            388256.823 ,                                         34.938 ,                                        186.438 ,                                  103.38676 ,                                  108.17729 ,                                        78.966 ,                                        79.461 ,                                         82.1   ,Ring movie to observe spokes; alternative TARGET_NAME = SATURN
Xvg-iss-2-s-c4367734 ,VGISS_6210/DATA/C43677XX/C4367734_RAW.LBL ,Enceladus    ,1981-08-15T04:57:35.040 ,      6.373 ,    0.96 ,                             86095.065 ,                            454514.627 ,                                         59.008 ,                                        185.714 ,                                  101.19286 ,                                  105.88396 ,                                        79.008 ,                                        79.5   ,                                         82.096 ,

vg-iss-2-s-c4379553 ,VGISS_6211/DATA/C43795XX/C4379553_RAW.LBL ,Saturn Rings ,1981-08-19T03:36:46.040 ,      8.746 ,    0.96 ,                             87720.515 ,                            276623.613 ,                                        227.625 ,                                        347.49  ,                                   65.50291 ,                                   69.46077 ,                                        78.359 ,                                        79.031 ,                                         82.039 ,Ring imaging
vg-iss-2-s-c4380550 ,VGISS_6212/DATA/C43805XX/C4380550_RAW.LBL ,Saturn Rings ,1981-08-19T11:34:22.040 ,      8.878 ,    0.96 ,                             81517.376 ,                            247841.225 ,                                        229.893 ,                                        349.429 ,                                   62.48572 ,                                   66.23386 ,                                        78.273 ,                                        78.945 ,                                         82.034 ,Ring imaging
vg-iss-2-s-c4381036 ,VGISS_6212/DATA/C43810XX/C4381036_RAW.LBL ,Saturn Rings ,1981-08-19T15:23:10.040 ,      9.024 ,    0.96 ,                             87227.316 ,                            251202.298 ,                                        235.607 ,                                        350.581 ,                                   60.88559 ,                                   64.51459 ,                                        78.199 ,                                        78.871 ,                                         82.032 ,Ring imaging

vg-iss-2-s-c4384914 ,VGISS_6212/DATA/C43849XX/C4384914_RAW.LBL ,Saturn Rings ,1981-08-20T22:17:34.040 ,      7.379 ,    0.96 ,                            107084.148 ,                            208960.314 ,                                         63.494 ,                                        161.279 ,                                   50.03105 ,                                   52.83303 ,                                        77.965 ,                                        78.612 ,                                         82.014 ,Ring imaging
vg-iss-2-s-c4385416 ,VGISS_6212/DATA/C43854XX/C4385416_RAW.LBL ,Saturn Rings ,1981-08-21T02:19:10.040 ,     10.045 ,    0.96 ,                            101410.76  ,                            220978.242 ,                                        246.754 ,                                        345.414 ,                                   48.18168 ,                                   50.96345 ,                                        77.819 ,                                        78.493 ,                                         82.011 ,Ring imaging
vg-iss-2-s-c4385821 ,VGISS_6212/DATA/C43858XX/C4385821_RAW.LBL ,Saturn Rings ,1981-08-21T05:35:10.040 ,     10.101 ,    0.96 ,                             94526.431 ,                            204624.473 ,                                        243.562 ,                                        343.97  ,                                   47.1029  ,                                   49.81915 ,                                        77.804 ,                                        78.478 ,                                         82.01  ,Ring imaging
vg-iss-2-s-c4385825 ,VGISS_6212/DATA/C43858XX/C4385825_RAW.LBL ,Saturn Rings ,1981-08-21T05:38:22.040 ,     10.011 ,    0.96 ,                             85782.714 ,                            202108.205 ,                                        242.296 ,                                        346.708 ,                                   47.04999 ,                                   49.75995 ,                                        77.794 ,                                        78.468 ,                                         82.009 ,Ring imaging

vg-iss-2-s-c4385829 ,VGISS_6212/DATA/C43858XX/C4385829_RAW.LBL ,Saturn Rings ,1981-08-21T05:41:33.080 ,      9.851 ,    1.92 ,                             69539.315 ,                            182573.964 ,                                        235.563 ,                                        348.055 ,                                   47.15456 ,                                   49.87684 ,                                        77.826 ,                                        78.5   ,                                         82.01  ,Ring imaging
vg-iss-2-s-c4385833 ,VGISS_6212/DATA/C43858XX/C4385833_RAW.LBL ,Saturn Rings ,1981-08-21T05:44:45.080 ,      7.86  ,    1.92 ,                             75148.02  ,                            186156.104 ,                                         53.774 ,                                        165.157 ,                                   47.14523 ,                                   49.78574 ,                                        77.828 ,                                        78.483 ,                                         82.01  ,Ring imaging

Xvg-iss-2-s-c4385837 ,VGISS_6212/DATA/C43858XX/C4385837_RAW.LBL ,Saturn Rings ,1981-08-21T05:47:58.040 ,      7.673 ,    0.96 ,                             89257.639 ,                            197042.952 ,                                         62.591 ,                                        165.054 ,                                   47.33828 ,                                   49.98971 ,                                        77.883 ,                                        78.535 ,                                         82.01  ,Ring imaging
vg-iss-2-s-c4385841 ,VGISS_6212/DATA/C43858XX/C4385841_RAW.LBL ,Saturn Rings ,1981-08-21T05:51:10.040 ,      7.544 ,    0.96 ,                            102234.885 ,                            206337.658 ,                                         66.275 ,                                        162.408 ,                                   47.35019 ,                                   49.9907  ,                                        77.89  ,                                        78.539 ,                                         82.01  ,Ring imaging
Xvg-iss-2-s-c4385938 ,VGISS_6212/DATA/C43859XX/C4385938_RAW.LBL ,Saturn Rings ,1981-08-21T06:36:46.040 ,      9.749 ,    0.96 ,                             87089.47  ,                            293001.913 ,                                        220.359 ,                                        311.572 ,                                   47.86945 ,                                   50.70028 ,                                        78.085 ,                                        78.759 ,                                         82.01  ,4 mosaics of rings
vg-iss-2-s-c4385955 ,VGISS_6212/DATA/C43859XX/C4385955_RAW.LBL ,Saturn Rings ,1981-08-21T06:50:22.040 ,     10.215 ,    0.96 ,                            117008.557 ,                            260533.878 ,                                        233.138 ,                                        323.052 ,                                   47.33822 ,                                   50.10937 ,                                        77.968 ,                                        78.642 ,                                         82.009 ,4 mosaics of rings

vg-iss-2-s-c4386001 ,VGISS_6212/DATA/C43860XX/C4386001_RAW.LBL ,Saturn Rings ,1981-08-21T06:55:10.040 ,     10.07  ,    0.96 ,                             87852.904 ,                            205141.387 ,                                        244.097 ,                                        347.105 ,                                   46.53903 ,                                   49.21255 ,                                        10.705 ,                                        77.765 ,                                         78.439 ,82.009                                                         ,4 mosaics of rings
vg-iss-2-s-c4386043 ,VGISS_6212/DATA/C43860XX/C4386043_RAW.LBL ,Saturn Rings ,1981-08-21T07:28:46.040 ,      8.247 ,    0.96 ,                             60285.111 ,                            241186.759 ,                                         38.194 ,                                        145.862 ,                                   45.8142  ,                                   48.32908 ,                                         8.897 ,                                        77.615 ,                                         78.269 ,82.008                                                         ,4 mosaics of rings
vg-iss-2-s-c4386108 ,VGISS_6212/DATA/C43861XX/C4386108_RAW.LBL ,Saturn Rings ,1981-08-21T07:48:46.040 ,      7.996 ,    0.96 ,                             60358.727 ,                            202609.101 ,                                         59.732 ,                                        175.997 ,                                   46.7846  ,                                   49.4382  ,                                         8.623 ,                                        77.904 ,                                         78.562 ,82.009                                                         ,4 mosaics of rings
vg-iss-2-s-c4386114 ,VGISS_6212/DATA/C43861XX/C4386114_RAW.LBL ,Saturn Rings ,1981-08-21T07:53:34.040 ,      7.933 ,    0.96 ,                             65055.105 ,                            225001.704 ,                                         67.068 ,                                        177.131 ,                                   46.937   ,                                   49.6104  ,                                         8.567 ,                                        77.95  ,                                         78.609 ,82.009                                                         ,4 mosaics of rings
vg-iss-2-s-c4386120 ,VGISS_6212/DATA/C43861XX/C4386120_RAW.LBL ,Saturn Rings ,1981-08-21T07:58:22.040 ,      8.049 ,    0.96 ,                             78080.588 ,                            239646.344 ,                                         43.552 ,                                        143.845 ,                                   45.71746 ,                                   48.23125 ,                                         8.701 ,                                        77.631 ,                                         78.285 ,82.008                                                         ,4 mosaics of rings
vg-iss-2-s-c4386138 ,VGISS_6212/DATA/C43861XX/C4386138_RAW.LBL ,Saturn Rings ,1981-08-21T08:12:46.040 ,      7.75  ,    0.96 ,                             83431.752 ,                            237229.752 ,                                         74.496 ,                                        173.516 ,                                   46.88374 ,                                   49.53875 ,                                         8.406 ,                                        77.963 ,                                         78.617 ,82.009                                                         ,4 mosaics of rings
vg-iss-2-s-c4386144 ,VGISS_6212/DATA/C43861XX/C4386144_RAW.LBL ,Saturn Rings ,1981-08-21T08:17:34.040 ,      7.939 ,    0.96 ,                            100758.754 ,                            285080.804 ,                                         43.164 ,                                        114.681 ,                                   45.21745 ,                                   47.66086 ,                                         8.592 ,                                        77.519 ,                                         78.168 ,82.008                                                         ,4 mosaics of rings
vg-iss-2-s-c4386150 ,VGISS_6212/DATA/C43861XX/C4386150_RAW.LBL ,Saturn Rings ,1981-08-21T08:22:22.040 ,      7.845 ,    0.96 ,                            100111.3   ,                            250406.302 ,                                         48.004 ,                                        136.361 ,                                   45.55892 ,                                   48.04247 ,                                         8.5   ,                                        77.621 ,                                         78.27  ,82.008                                                         ,4 mosaics of rings
vg-iss-2-s-c4386156 ,VGISS_6212/DATA/C43861XX/C4386156_RAW.LBL ,Saturn Rings ,1981-08-21T08:27:10.040 ,      7.704 ,    0.96 ,                             99581.321 ,                            203578.587 ,                                         58.271 ,                                        156.042 ,                                   46.08433 ,                                   48.62983 ,                                         8.36  ,                                        77.771 ,                                         78.42  ,82.008                                                         ,4 mosaics of rings
vg-iss-2-s-c4386202 ,VGISS_6212/DATA/C43862XX/C4386202_RAW.LBL ,Saturn Rings ,1981-08-21T08:31:58.040 ,      7.623 ,    0.96 ,                            101524.934 ,                            195505.348 ,                                         64.787 ,                                        160.803 ,                                   46.29867 ,                                   48.87077 ,                                         8.28  ,                                        77.835 ,                                         78.484 ,82.008                                                         ,4 mosaics of rings
vg-iss-2-s-c4386444 ,VGISS_6212/DATA/C43864XX/C4386444_RAW.LBL ,Saturn Rings ,1981-08-21T10:41:34.040 ,     10.258 ,    0.96 ,                             91623.65  ,                            188833.836 ,                                        241.823 ,                                        341.566 ,                                   45.34042 ,                                   47.94496 ,                                        10.891 ,                                        77.759 ,                                         78.433 ,82.007                                                         ,Ring imaging PRA + PWS
vg-iss-2-s-c4386448 ,VGISS_6212/DATA/C43864XX/C4386448_RAW.LBL ,Saturn Rings ,1981-08-21T10:44:46.040 ,     10.175 ,    0.96 ,                             84282.971 ,                            187953.522 ,                                        238.859 ,                                        342.211 ,                                   45.37458 ,                                   47.98343 ,                                        10.81  ,                                        77.773 ,                                         78.447 ,82.007                                                         ,Ring imaging PRA + PWS
vg-iss-2-s-c4386500 ,VGISS_6212/DATA/C43865XX/C4386500_RAW.LBL ,Saturn Rings ,1981-08-21T10:54:22.040 ,      7.804 ,    0.96 ,                             89342.105 ,                            182395.018 ,                                         61.624 ,                                        162.717 ,                                   45.39207 ,                                   47.91387 ,                                         8.459 ,                                        77.791 ,                                         78.443 ,82.007                                                         ,Ring imaging PRA + PWS
vg-iss-2-s-c4386504 ,VGISS_6212/DATA/C43865XX/C4386504_RAW.LBL ,Saturn Rings ,1981-08-21T10:57:34.040 ,      7.6   ,    0.96 ,                            105794.028 ,                            208394.434 ,                                         69.896 ,                                        161.623 ,                                   45.53694 ,                                   48.06335 ,                                         8.257 ,                                        77.835 ,                                         78.484 ,82.007                                                         ,Ring imaging PRA + PWS

vg-iss-2-s-c4391239 ,VGISS_6213/DATA/C43912XX/C4391239_RAW.LBL ,Pandora      ,1981-08-23T01:01:34.040 ,      8.788 ,    0.96 ,                            107684.907 ,                            190908.266 ,                                         93.32  ,                                        161.359 ,                                   31.70506 ,                                   33.39268 ,                                         9.434 ,                                        77.169 ,                                         77.828 ,81.985                                                         ,
vg-iss-2-s-c4391624 ,VGISS_6213/DATA/C43916XX/C4391624_RAW.LBL ,Saturn Rings ,1981-08-23T04:01:34.040 ,     12.476 ,    0.96 ,                            112815.524 ,                            239069.468 ,                                        230.119 ,                                        281.021 ,                                   31.10024 ,                                   32.81098 ,                                        13.093 ,                                        77.304 ,                                         77.976 ,81.983                                                         ,F ring optical navigation
vg-iss-2-s-c4391632 ,VGISS_6213/DATA/C43916XX/C4391632_RAW.LBL ,Saturn Rings ,1981-08-23T04:07:58.040 ,      9.473 ,    0.96 ,                             83905.351 ,                            202681.225 ,                                        118.571 ,                                        176.399 ,                                   30.95467 ,                                   32.51874 ,                                        10.033 ,                                        77.257 ,                                         77.879 ,81.983                                                         ,F ring optical navigation
vg-iss-2-s-c4391644 ,VGISS_6213/DATA/C43916XX/C4391644_RAW.LBL ,Saturn Rings ,1981-08-23T04:17:34.040 ,     11.958 ,    0.96 ,                             70777.917 ,                            200307.033 ,                                        223.673 ,                                        292.297 ,                                   30.79206 ,                                   32.47679 ,                                        12.551 ,                                        77.209 ,                                         77.883 ,81.983                                                         ,Search for embedded moonlets in physical ring plane
vg-iss-2-s-c4391656 ,VGISS_6213/DATA/C43916XX/C4391656_RAW.LBL ,Saturn Rings ,1981-08-23T04:27:10.040 ,     12.869 ,    0.96 ,                            102166.822 ,                            152751.521 ,                                        255.739 ,                                        327.59  ,                                   29.96892 ,                                   31.56022 ,                                        13.483 ,                                        76.873 ,                                         77.546 ,81.982                                                         ,Search for embedded moonlets in physical ring plane
vg-iss-2-s-c4391752 ,VGISS_6213/DATA/C43917XX/C4391752_RAW.LBL ,Saturn Rings ,1981-08-23T05:11:58.040 ,      8.942 ,    0.96 ,                            110902.396 ,                            161598.506 ,                                         82.221 ,                                        148.766 ,                                   29.79524 ,                                   31.34059 ,                                         9.586 ,                                        76.897 ,                                         77.553 ,81.982                                                         ,Search for embedded moonlets in physical ring plane
vg-iss-2-s-c4391756 ,VGISS_6213/DATA/C43917XX/C4391756_RAW.LBL ,Saturn Rings ,1981-08-23T05:15:10.040 ,      9.119 ,    0.96 ,                            100795.295 ,                            181606.509 ,                                         94.748 ,                                        162.83  ,                                   30.119   ,                                   31.71231 ,                                         9.763 ,                                        77.047 ,                                         77.708 ,81.982                                                         ,Search for embedded moonlets in physical ring plane
vg-iss-2-s-c4391800 ,VGISS_6213/DATA/C43918XX/C4391800_RAW.LBL ,Saturn Rings ,1981-08-23T05:18:22.040 ,      9.437 ,    0.96 ,                             83201.519 ,                            176969.59  ,                                         95.353 ,                                        170.125 ,                                   30.16094 ,                                   31.7706  ,                                        10.079 ,                                        77.073 ,                                         77.738 ,81.982                                                         ,Search for embedded moonlets in physical ring plane
vg-iss-2-s-c4391804 ,VGISS_6213/DATA/C43918XX/C4391804_RAW.LBL ,Saturn Rings ,1981-08-23T05:21:34.040 ,      9.673 ,    0.96 ,                             75718.527 ,                            176684.199 ,                                        119.653 ,                                        173.351 ,                                   30.48032 ,                                   31.79113 ,                                        10.178 ,                                        77.217 ,                                         77.753 ,81.982                                                         ,Search for embedded moonlets in physical ring plane
vg-iss-2-s-c4391923 ,VGISS_6213/DATA/C43919XX/C4391923_RAW.LBL ,Saturn Rings ,1981-08-23T06:24:46.040 ,      8.972 ,    0.96 ,                            114844.006 ,                            193836.239 ,                                         99.915 ,                                        160.937 ,                                   29.74822 ,                                   31.31384 ,                                         9.618 ,                                        77.04  ,                                         77.699 ,81.981                                                         ,F ring optical navigation

vg-iss-2-s-c4393003 ,VGISS_6213/DATA/C43930XX/C4393003_RAW.LBL ,Saturn Rings ,1981-08-23T14:56:46.040 ,     13.428 ,    0.96 ,                            111974     ,                            230506.436 ,                                        343.305 ,                                          5.406 ,                                   24.67087 ,                                   25.87013 ,                                        14.038 ,                                        75.732 ,                                         76.406 ,81.975                                                         ,F ring optical navigation
vg-iss-2-s-c4393227 ,VGISS_6213/DATA/C43932XX/C4393227_RAW.LBL ,Saturn Rings ,1981-08-23T16:51:58.040 ,     14.443 ,    0.96 ,                            112966.476 ,                            148264.046 ,                                        264.389 ,                                        322.157 ,                                   25.26752 ,                                   26.55032 ,                                        15.045 ,                                        76.389 ,                                         77.058 ,81.975                                                         ,A ring composition study

vg-iss-2-s-c4393811 ,VGISS_6213/DATA/C43938XX/C4393811_RAW.LBL ,System       ,1981-08-23T21:27:05.240 ,     10.349 ,    5.76 ,                            109165.226 ,                            215166.693 ,                                        139.492 ,                                        175.655 ,                                   24.53533 ,                                   25.81907 ,                                        10.983 ,                                        76.749 ,                                         77.419 ,81.973                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393815 ,VGISS_6213/DATA/C43938XX/C4393815_RAW.LBL ,System       ,1981-08-23T21:30:17.240 ,     10.093 ,    5.76 ,                            118304.993 ,                            210398.803 ,                                        131.066 ,                                        170.373 ,                                   24.41119 ,                                   25.67708 ,                                        10.73  ,                                        76.689 ,                                         77.357 ,81.973                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
vg-iss-2-s-c4393819 ,VGISS_6213/DATA/C43938XX/C4393819_RAW.LBL ,System       ,1981-08-23T21:33:29.240 ,      9.888 ,    5.76 ,                            124598.217 ,                            196769.687 ,                                        119.154 ,                                        163.058 ,                                   24.18713 ,                                   25.42331 ,                                        10.526 ,                                        76.573 ,                                         77.237 ,81.973                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS

vg-iss-2-s-c4393851 ,VGISS_6213/DATA/C43938XX/C4393851_RAW.LBL ,System       ,1981-08-23T21:59:05.240 ,     14.277 ,    5.76 ,                            102602.046 ,                            204894.287 ,                                        342.15  ,                                          4.605 ,                                   22.13828 ,                                   23.18561 ,                                        14.879 ,                                        75.384 ,                                         76.058 ,81.971                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS
