Observation,Date,Coverage,Min Res,Median Ph,Median Em,Incidence,Inertial,Nav qual,Bkgnd qual,Prometheus,Pandora,2012,2014,For Archive,For Photometry,For Width,For Clumps,Additional Comments,Prom C-S,Pan C-S,Clumps
ISS_000RI_SATSRCHAP001_PRIME,2004-06-20 20:03:28,100,38.2,67.31,73.92,65.45,1,1,1,1,0,1,1,1,1,1,1,,,,
ISS_00ARI_SPKMOVPER001_PRIME,2004-11-15 08:52:32,96.42,27.04,84.57,77.32,66.6,1,2,1,1,0,1,1,1,1,1,1,,3 BA,,
ISS_006RI_LPHRLFMOV001_PRIME,2005-04-13 02:37:52,96.94,5.92,35.76,83.46,67.98,1,1,1,1,0,1,1,1,1,1,1,,1 BA,3 A,
ISS_007RI_LPHRLFMOV001_PRIME,2005-05-01 04:07:28,92.05,5.85,32.63,68.88,68.16,1,1,3,1,0,1,1,1,0,0,0,Insufficient image data near outer radius limit to make a good background,3 B,,
ISS_007RI_AZSCNLOPH001_PRIME,2005-05-02 05:53:52,100,28.67,15.22,65.96,68.17,0,1,1,1,0,0,1,1,1,0,0,Images were not taken near the same inertial longitude,,,
ISS_007RI_HPMRDFMOV001_PRIME,2005-05-03 21:54:08,79.5,4.24,123.63,95.83,68.19,1,2,2,0,0,0,1,1,1,1,1,Missing image data near inner radius limit eliminates 1/4 of longitudes,1 BAN,,
ISS_029RF_FMOVIE001_VIMS,2006-09-28 20:32:15,93.69,9.41,160.16,121.74,74.34,1,2,1,0,0,1,1,1,1,1,1,,1 BA,,
ISS_029RF_FMOVIE002_VIMS,2006-09-30 00:32:15,59.39,11.07,159.93,119,74.35,1,2,1,0,0,0,1,1,1,1,1,,1 BAB,,
ISS_030RF_FMOVIE001_VIMS,2006-10-16 01:34:07,53.45,10.43,151.53,130.85,74.57,1,2,1,1,0,0,1,1,1,1,1,,1 BAR,,
ISS_031RF_FMOVIE001_VIMS,2006-10-31 18:37:35,93.01,9.34,158.35,126.5,74.78,1,1,1,0,0,1,1,1,1,1,1,,2 BA,3 A,
ISS_032RF_FMOVIE001_VIMS,2006-11-12 17:53:35,92.98,9.31,157.93,126.63,74.95,1,1,1,0,0,1,1,1,1,1,1,,2 BA,2 AO,
ISS_032RF_FMOVIE002_VIMS,2006-11-13 22:24:47,15.49,10.14,163.7,121.28,74.96,1,1,1,0,0,0,0,1,1,1,1,,,2 AN,
ISS_033RF_FMOVIE001_VIMS,2006-11-25 16:52:47,95.4,10.04,160.3,120.89,75.13,1,1,1,1,0,1,1,1,1,1,1,,1 BA,3 BAN,
ISS_036RF_FMOVIE001_VIMS,2006-12-23 09:43:43,100,11.7,159.78,124.3,75.51,1,2,1,0,0,1,1,1,1,1,1,Bright clump is overexposed,3 BAB,3 BA,Start of large clump
ISS_036RF_FMOVIE002_VIMS,2007-01-05 14:31:59,89.25,10.18,133.38,144.81,75.7,1,1,1,0,0,1,1,1,1,0,0,Some bad image data from corrupted pixels in source images; bright clump is highly overexposed,2 BA,,
ISS_039RF_FMOVIE002_VIMS,2007-02-10 11:47:11,91.82,10.22,128.21,147.99,76.2,1,2,1,1,0,1,1,1,1,1,1,Bright clump is overexposed,1 BA,,
ISS_039RF_FMOVIE003_VIMS,2007-02-11 15:43:11,19.66,10.11,137.12,143.95,76.21,1,1,1,0,0,0,0,1,1,1,1,Bright clump is overexposed,2 BAN,,
ISS_039RF_FMOVIE001_VIMS,2007-02-27 07:18:39,100,10.15,104.85,145.37,76.44,1,1,1,1,0,1,1,1,1,1,1,Bright clump is overexposed,3 BA,,
ISS_041RF_FMOVIE002_VIMS,2007-03-17 03:49:19,100,10.42,109.01,144.59,76.69,1,1,1,1,0,1,1,1,1,1,1,Bright clump is overexposed,2 BAB,,
ISS_041RF_FMOVIE001_VIMS,2007-03-31 09:35:11,85.64,11.85,83.94,129.41,76.9,1,1,1,0,0,1,1,1,1,1,1,,2 BA,,
ISS_043RF_FMOVIE001_VIMS,2007-04-18 03:26:39,99.09,12.02,85.51,126.65,77.15,1,1,1,0,0,0,1,1,1,1,1,,2 BA,3 A,
ISS_044RF_FMOVIE001_VIMS,2007-05-05 04:51:11,100,11.9,81.87,119.41,77.4,1,1,1,1,0,0,1,1,1,1,1,,3 BA,,
ISS_051RI_LPMRDFMOV001_PRIME,2007-10-18 21:11:11,89.13,17.49,56.1,94.08,79.85,1,3,1,1,0,1,1,1,1,1,1,,5 B,,
ISS_055RF_FMOVIE001_VIMS,2007-12-31 15:47:27,91.36,9.03,65.22,122.91,80.96,1,1,1,0,1,1,1,1,1,1,1,,2 BAB,3 A,
ISS_055RI_LPMRDFMOV001_PRIME,2008-01-07 08:07:59,100,9.42,20.91,101.15,81.06,1,1,1,0,0,1,1,1,1,1,1,,2 BA,3 AO,
ISS_057RF_FMOVIE001_VIMS,2008-01-23 14:10:23,89.57,9.78,44.23,118.24,81.31,1,1,1,1,0,1,1,1,1,1,1,,2 BA,3 A,
ISS_059RF_FMOVIE001_VIMS,2008-02-17 12:25:03,92.31,8.52,44.94,122.75,81.69,1,1,1,0,1,0,1,1,1,1,1,,2 BAB,,
ISS_059RF_FMOVIE002_VIMS,2008-02-24 12:27:11,100,9.27,25.21,106.4,81.79,1,1,1,0,0,0,1,1,1,1,1,,2 BA,,
ISS_061RI_LPMRDFMOV001_PRIME,2008-03-15 10:14:07,61.72,7.99,13.91,95.74,82.09,1,2,1,0,0,0,1,1,1,1,1,,,,
ISS_068RF_FMOVIE001_VIMS,2008-05-15 23:55:27,58.87,0,48.91,130.36,83.04,1,1,1,0,0,1,0,1,1,1,0,3-4 degree gap between images,5 BA,,
ISS_072RI_SPKHRLPDF001_PRIME,2008-06-14 05:16:15,94.76,80.62,35.66,119.14,83.49,1,1,1,1,0,0,1,1,1,1,1,,,,
ISS_075RF_FMOVIE002_VIMS,2008-07-05 01:53:35,99.89,6.01,32.78,116.53,83.81,1,1,1,1,0,1,1,1,1,1,1,Some longitudes between 202 and 211 have no data due to problems with the source image,2 BA,,
ISS_075RB_BMOVIE4001_VIMS,2008-07-08 03:57:51,44.64,52.56,24.84,64.1,83.85,1,1,1,0,0,0,1,1,1,1,1,,,,
ISS_079RI_FMONITOR002_PRIME,2008-08-02 01:25:19,42.99,66.18,33.96,114.91,84.23,0,1,2,0,0,0,1,1,0,0,0,"Mosaic was made from two WAC images taken at opposite ansa, but not in a way that overlapped co-rotating longitudes",,,
ISS_079RF_FRINGMRLF002_PRIME,2008-08-06 01:42:23,63.05,8.63,24.22,68.34,84.3,1,2,1,1,0,0,1,1,1,1,1,,2 BA,,
ISS_080RF_FMOVIE005_PRIME,2008-08-14 06:50:39,29.59,6.61,14.51,82.57,84.42,1,1,1,0,1,0,1,1,1,1,1,,2 BAP,,
ISS_081RI_FMONITOR001_PRIME,2008-08-16 10:45:19,52.58,69.19,28.18,109.67,84.45,0,1,2,0,0,0,1,1,0,0,0,"Mosaic was made from two WAC images taken at opposite ansa, but not in a way that overlapped co-rotating longitudes",,,
ISS_081RI_FMOVIE106_VIMS,2008-08-20 00:36:15,89.14,3.46,36.52,51.85,84.51,1,1,1,0,1,0,1,1,1,1,1,,1 BAB,3 AO,
ISS_082RI_FMONITOR003_PRIME,2008-08-28 08:54:23,40.94,56.68,33.05,70.92,84.63,0,1,2,1,0,1,1,1,0,0,0,"Mosaic was made from two WAC images taken at opposite ansa, but not in a way that overlapped co-rotating longitudes",5 B,,
ISS_083RI_FMOVIE109_VIMS,2008-08-30 16:19:11,88.9,6.96,23.56,106.66,84.68,1,2,1,0,0,1,1,1,1,1,1,,1 BAB,3 AN,
ISS_084RI_FMONITOR002_PRIME,2008-09-08 03:54:07,31.9,63.18,35.62,118.45,84.8,0,1,2,0,0,0,1,1,0,0,0,"Mosaic was made from two WAC images taken at opposite ansa, but not in a way that overlapped co-rotating longitudes",,,
ISS_085RF_FMOVIE003_PRIME_1,2008-09-15 23:01:19,50.37,5.25,44.61,129.45,84.92,1,1,1,0,1,0,1,1,1,1,1,Missing data from 231.6-233.4 is because image N1600215747 is missing SPICE kernel information,,3 A,
ISS_085RF_FMOVIE003_PRIME_2,2008-09-16 06:34:07,35.01,5.26,50.55,132.92,84.93,1,1,1,0,0,0,1,1,1,1,1,,,3 A,
ISS_087RF_FMOVIE003_PRIME,2008-09-30 16:28:15,77.58,4.91,48.99,130.74,85.15,1,1,1,1,1,1,1,1,1,1,1,,1 BA,3 A,
ISS_089RF_FMOVIE003_PRIME,2008-10-14 22:37:51,81.22,5.66,42.22,122.39,85.38,1,1,1,0,1,1,1,1,1,1,1,,3 BN,3 A,
ISS_091RF_FMOVIE003_PRIME,2008-10-29 20:23:27,85.54,5.75,48.98,134.01,85.61,1,1,1,0,0,0,1,1,1,1,1,,2 BA,3 AO,
ISS_091RI_APOMOSL109_VIMS,2008-11-02 00:33:03,55.78,48.96,37.17,62.13,85.65,1,3,2,0,0,0,0,1,0,0,0,,5,,
ISS_092RF_FMOVIE003_PRIME,2008-11-07 03:06:39,19.63,5.82,50.11,134.18,85.73,1,1,1,0,0,0,0,1,1,1,1,,1 BAB,,
ISS_093RF_FMOVIE003_PRIME,2008-11-14 15:06:39,62.95,6.05,43.41,129.18,85.85,1,1,1,1,0,0,0,1,1,1,1,,1 BAN,3 A,
ISS_093RF_FMOVIE001_PRIME,2008-11-16 11:58:55,11.19,2.07,99.36,171.84,85.87,1,1,2,0,0,0,0,1,1,1,1,"Background model uses outer limit of 140,820 km due to missing data beyond that radius; effect on photometry should be minimal",3 BAN,,
ISS_094RF_FMOVIE001_PRIME_1,2008-11-21 21:26:55,48,6.23,38.47,124.37,85.96,1,1,1,1,0,0,1,1,1,1,1,,2 BA,3 AO,
ISS_094RF_FMOVIE001_PRIME_2,2008-11-22 04:36:47,26.18,6.35,45.02,127.44,85.96,1,2,1,0,0,0,0,1,1,1,1,Missing data near inner and outer radial limits causes background model to omit some longitudes,,,
ISS_094RF_FMOVIE003_PRIME,2008-11-23 04:31:27,8.49,4.36,71.28,152.65,85.97,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_096RF_FMOVIE004_PRIME,2008-12-10 18:01:03,85.18,3.8,62.15,30.38,86.25,1,2,1,1,0,0,1,1,1,1,1,,2 BA,3 A,
ISS_098RI_TMAPN30LP001_CIRS,2008-12-22 23:58:55,73.21,62.69,35.69,120.18,86.44,0,1,1,1,0,0,1,1,0,0,0,,5,,
ISS_100RF_FMOVIE003_PRIME,2009-01-11 10:41:34,74.16,5.85,41.41,128.13,86.74,1,1,1,0,1,1,1,1,1,1,1,,2 BAN,3 AO,
ISS_100RI_SUBMS20LP001_CIRS,2009-01-17 16:07:58,64.38,65.4,44.91,67.34,86.84,0,1,2,0,0,0,1,1,1,1,1,Mosaic built from WAC images that vary somewhat in inertial longitude,5 B,,
ISS_102RF_FMOVIE001_PRIME,2009-02-02 18:13:50,11.26,3.24,153.91,66.9,87.08,1,1,1,1,0,0,0,1,1,1,1,,3 BA,3 AN,
ISS_102RI_SPKFMLFLP001_PRIME,2009-02-05 16:39:26,61.56,65.73,37.82,63.12,87.13,1,1,2,0,0,0,1,1,1,1,1,,,,
ISS_103RF_FMOVIE003_PRIME,2009-02-10 14:28:46,64.01,6.21,75.94,153.26,87.21,1,1,1,0,0,0,1,1,1,1,1,,3 BAN,3 AO,
ISS_104RF_FMOVIE003_PRIME,2009-02-25 00:06:54,18.38,5.01,144.82,114.28,87.43,1,1,2,0,0,0,0,1,1,1,1,"Background model uses outer limit of 140,720 km due to missing data beyond that radius; effect on photometry should be minimal",,,
ISS_105RF_FMOVIE003_PRIME,2009-03-04 08:46:54,31.66,7.08,34.24,112.58,87.54,1,1,1,0,0,0,1,1,1,1,1,,5,,
ISS_105RI_TMAPN45LP001_CIRS,2009-03-05 08:45:18,32.6,67.6,45.69,132.56,87.56,1,1,1,0,1,0,1,1,1,1,1,,5,,
ISS_105RI_TDIFS20HP001_CIRS,2009-03-10 01:56:14,49.61,47.95,154.05,67.1,87.63,1,1,2,0,0,0,1,1,1,1,1,Background model region has significant brightness slope which may result in over-estimation of background brightness,,,
ISS_105RF_FMOVIE002_PRIME,2009-03-11 11:51:58,78.55,5.32,105.68,23.74,87.66,1,1,1,0,0,0,1,1,1,1,1,,2 BA,3 A,
ISS_106RF_FMOVIE002_PRIME,2009-03-23 11:07:10,75.46,5.31,106.31,23.67,87.84,1,1,1,1,0,0,1,1,1,1,1,,2 BAR,3 A,
ISS_107RF_FMOVIE002_PRIME,2009-03-29 16:51:42,41.75,7.08,58.11,142.13,87.93,1,1,1,1,0,0,1,1,1,1,1,,2 BAR,,
ISS_108RI_SPKMVLFLP001_PRIME,2009-04-10 09:49:18,60.65,70.68,35.93,70.89,88.11,1,1,2,0,0,0,1,1,1,1,1,,,,
ISS_108RF_FMOVIE001_PRIME,2009-04-16 10:34:06,64.98,7.81,104.26,144.99,88.21,1,1,1,1,0,0,1,1,1,1,1,,1 BAR,3 A,
ISS_109RI_TDIFS20HP001_CIRS,2009-04-21 12:42:06,72.33,66.33,145.22,56.94,88.29,1,1,2,0,0,0,1,1,0,1,1,Background model region has significant brightness slope which may result in over-estimation of background brightness,5,,
ISS_110RF_FMOVIE002_PRIME,2009-05-10 09:03:58,70.88,5.53,59.19,63.28,88.58,1,1,1,1,0,0,0,1,1,1,1,,1 BAR,3 A,
ISS_111RF_FMOVIE002_PRIME,2009-05-26 09:08:14,55.53,5.28,35.88,98.09,88.83,1,2,1,1,0,0,1,1,1,1,1,,1 BAR,,
ISS_112RF_FMOVIE002_PRIME_1,2009-06-10 11:51:26,51.75,4.21,18.46,104.3,89.06,1,1,1,0,1,0,1,1,1,1,1,,2 BA,3 AO,
ISS_112RF_FMOVIE002_PRIME_2,2009-06-10 19:18:22,36.67,5.2,34.12,113.57,89.06,1,1,1,1,0,0,0,1,1,1,1,,2 BA,3 AO,
ISS_114RF_FMOVIEEQX001_PRIME,2009-07-13 20:02:06,83.45,8.78,90.27,131.9,89.57,1,1,1,0,1,0,1,1,1,1,1,,2 BA,3 A,
ISS_115RF_FMOVIEEQX001_PRIME,2009-07-30 01:05:34,87.73,10,100.43,118.24,89.82,1,1,1,0,0,0,1,1,1,1,1,,2 BA,3 AO,
ISS_132RI_FMOVIE001_VIMS,2010-05-31 23:02:54,87.63,0,122.42,79.84,85.54,1,2,1,1,0,0,1,1,1,1,1,,1 BAR,3 A,
ISS_134RI_SPKMVDFHP001_PRIME,2010-07-01 20:07:58,100,68.57,127.49,106.76,85.06,1,1,1,0,0,0,0,-1,-1,-1,-1,XXX Needs to be looked at further,5,,
ISS_137RI_FMOVIE001_VIMS,2010-09-02 01:05:02,34.65,5.16,139.91,94.77,84.17,1,0,0,0,0,0,0,0,0,0,0,Overexposed,,,
ISS_166RI_FNTLPMOV001_PRIME,2012-05-23 12:10:06,68.13,13.15,46.79,93.37,75.58,1,3,-1,-1,-1,0,0,-1,-1,-1,-1,XXX Needs cleanup,,,
ISS_168RI_SPOKEMOV001_PRIME,2012-06-24 12:43:42,100,135.12,100.06,109.71,75.18,1,3,-1,-1,-1,0,0,-1,-1,-1,-1,XXX Needs cleanup,,,
ISS_168RF_FMOVIE001_PRIME,2012-06-25 03:03:58,59.82,10.75,110.19,110.77,75.17,1,1,1,0,0,0,0,1,1,1,1,,,3 AB,
ISS_168RF_FMOVIE002_PRIME,2012-06-27 23:36:30,27.53,4.28,135.17,109.32,75.14,1,0,0,0,0,0,0,0,0,0,0,Overexposed,,,
ISS_168RI_PROPRETRG001_PRIME,2012-07-03 00:11:09,16.86,11.57,44.53,96.63,75.08,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_170RF_HIRESFRNG001_PRIME,2012-08-12 22:51:09,1.26,0,122.44,62.86,74.59,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_172RI_SPOKEMOV001_PRIME,2012-09-18 19:10:21,100,137.07,93.17,120.32,74.14,1,3,3,1,1,0,0,-1,0,0,0,XXX Needs cleanup,5,,
ISS_172RI_SPOKEMOV002_PRIME,2012-09-19 17:55:41,97.02,116.78,105.46,121.05,74.13,1,3,3,1,0,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_172RF_FMOVIE001_PRIME,2012-09-20 17:37:33,85.52,10.02,113.04,121.92,74.12,1,1,1,0,0,0,0,1,1,1,1,,3 BAN,3 AB,
ISS_172RI_BETPEGOCC001_VIMS,2012-09-22 17:32:13,4.15,6.94,134.99,121.74,74.1,1,3,1,0,0,0,0,-1,1,1,1,XXX Needs cleanup,,,
ISS_172ST_URGAMPEG001_UVIS,2012-09-23 21:59:25,4.07,3.85,153.47,110.22,74.09,1,1,1,0,0,0,0,1,1,1,1,Missing data near inner and outer radial limits causes background model to omit some longitudes,,,
ISS_172RI_EGAPMOVMP002_PRIME,2012-10-01 13:11:25,100,14.31,73.14,115.55,73.99,1,2,1,0,0,0,0,1,1,1,1,,1 BA,,
ISS_173RI_SPOKEMOV001_PRIME,2012-10-06 19:24:45,94.45,162.08,93.19,124.54,73.93,1,1,2,0,0,0,0,1,0,0,0,,,,
ISS_173RI_SPOKEMOV002_PRIME,2012-10-10 23:56:13,66.03,151.3,103.96,127.68,73.88,1,3,-1,0,0,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_173RI_SPOKEMOV003_PRIME,2012-10-12 23:00:45,100,119.08,114.76,128.64,73.86,1,3,-1,0,0,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_173RF_FMOVIE001_PRIME_1,2012-10-15 19:43:57,63.87,7.72,139.39,124.08,73.83,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_173RF_FMOVIE001_PRIME_2,2012-10-16 03:46:37,63.83,7.21,157.24,120.89,73.82,1,1,1,0,0,0,0,1,1,1,1,,2 BAB,,
ISS_173RF_HIRESFRNG001_PRIME,2012-10-18 12:58:05,1.47,2.94,73.36,39.66,73.8,1,2,1,0,0,0,0,-1,1,1,1,,,,
ISS_174RI_SPOKEMOV001_PRIME,2012-11-03 13:49:17,100,151.95,103.19,127.44,73.61,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_174RI_SPOKEMOV002_PRIME,2012-11-05 11:48:45,100,124.25,112.4,128.37,73.58,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_174RI_SPOKEMOV004_PRIME,2012-11-07 23:09:17,86.77,87.8,129.7,126.56,73.56,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_174RF_FRSTRCHAN001_PRIME_1,2012-11-08 21:59:57,50.24,7.42,153.21,122.53,73.55,1,2,1,0,0,0,0,1,1,1,1,,,,
ISS_174RF_FRSTRCHAN001_PRIME_2,2012-11-09 05:18:21,50.19,6.44,146.48,120.63,73.54,1,2,1,0,0,0,0,1,1,1,1,,,3 A,
ISS_176RF_FMOVIE001_PRIME,2012-12-06 18:33:01,91.14,8.23,107.2,147.37,73.22,1,1,1,0,0,0,0,1,1,-1,-1,Images are not contiguous in longitude,3 BA,,
ISS_177RF_FMOVIE001_PRIME_1,2012-12-18 20:33:33,41.07,9.54,95.15,136.14,73.09,1,1,1,1,0,0,0,1,1,1,1,,3 BA,,
ISS_177RF_FMOVIE001_PRIME_2,2012-12-19 02:29:49,40.51,9.73,90.66,140.51,73.09,1,1,1,0,0,0,0,1,1,1,1,,3 BA,,
ISS_177RI_SPOKEMOV001_PRIME,2012-12-19 19:33:17,90.71,90.93,97.61,139.05,73.08,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_177RF_FRSTRCHAN001_PRIME_1,2012-12-25 02:34:37,49.68,0,19,78.91,73.02,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_177RF_FRSTRCHAN001_PRIME_2,2012-12-25 09:20:29,32.71,6.34,11.81,83.04,73.02,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_178RI_EGAPMOVMP001_PRIME,2012-12-30 13:19:57,47.3,10.04,72.84,128.84,72.95,1,1,1,0,0,0,0,1,0,0,0,Images are not contiguous in longitude; missing data near inner and outer radial limits causes background model to have few remaining valid longitudes,,,
ISS_178RI_SPOKEMOV001_PRIME,2013-01-02 11:35:25,80.62,90.16,103.32,139.15,72.92,1,3,-1,-1,-1,0,0,-1,0,0,0,XXX Needs cleanup,,,
ISS_179RF_FMOVIE001_PRIME,2013-01-13 18:33:33,100,9.5,90.42,135.35,72.79,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_179RI_SPOKEMOV001_PRIME,2013-01-16 03:13:33,88.25,79.45,109.19,139.69,72.77,1,2,2,0,0,0,0,-1,0,0,0,,,,
ISS_179RF_FRINGPHOT001_VIMS,2013-01-17 23:20:29,25.68,0,156.29,120.56,72.75,1,1,1,0,0,0,0,1,1,1,1,Missing data near inner and outer radial limits causes background model to omit some longitudes,2 BABN,,
ISS_180RI_RLYROCC001_VIMS,2013-01-26 18:44:13,4.04,10.09,83.85,130.83,72.65,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_180RF_FMOVIE001_PRIME,2013-01-27 17:43:25,84.08,10.65,93.58,141.41,72.64,1,1,1,0,0,0,0,1,1,1,1,,3 BAR,,
ISS_180RI_SPOKEMOV001_PRIME,2013-01-28 17:14:05,41.07,102.51,96.61,137.92,72.63,1,1,1,0,0,0,0,1,0,1,1,,,,
ISS_180RI_SPOKEMOV002_PRIME,2013-01-29 17:23:41,54.93,75.93,111.77,139.97,72.62,1,2,1,0,0,0,0,1,0,1,1,,,,
ISS_180RI_RCASOCC001_VIMS,2013-01-30 09:59:57,13.56,6.26,130.92,146.06,72.61,1,1,1,0,0,0,0,1,1,1,1,Occultation star is visible at multiple locations in the mosaic,,,
ISS_180RF_HIRESFRNG001_PRIME,2013-02-01 15:06:37,23.94,2.83,58.16,24.47,72.58,1,1,1,0,0,0,0,1,1,1,1,Images are not contiguous in longitude,2 BAB,,
ISS_181RF_FMOVIE001_PRIME,2013-02-09 18:25:33,100,9.22,94.11,137.72,72.49,1,1,1,0,0,0,0,1,1,1,1,,2 BA,,
ISS_181RI_SPOKEMOV001_PRIME,2013-02-11 17:03:25,38.39,84.4,105.41,140.01,72.47,1,3,-1,-1,-1,0,0,-1,-1,-1,-1,XXX Needs cleanup,,,
ISS_181RF_FRINGPHOT001_VIMS,2013-02-13 14:14:21,33,3.56,157.59,119.16,72.45,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_181RF_FRINGPHOT002_VIMS,2013-02-14 00:09:01,19.73,2.96,151.55,97.44,72.45,1,2,1,0,0,0,0,1,1,1,1,,,,
ISS_183RF_FMOVIE001_PRIME_1,2013-03-04 22:20:13,41.32,9,70.2,130.06,72.24,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_183RF_FMOVIE001_PRIME_2,2013-03-05 04:20:13,40.52,11.67,79.1,130.12,72.24,1,2,1,0,0,0,0,1,1,1,1,,,,
ISS_183RI_SPOKEMOV001_PRIME,2013-03-06 22:18:37,85.11,69.64,109.48,147.39,72.21,1,1,1,0,0,0,0,1,0,-1,-1,,,,
ISS_184RI_SPOKEMOV002_PRIME,2013-03-18 15:13:33,39.72,76.56,102.67,144.59,72.09,1,3,-1,-1,-1,0,0,-1,-1,-1,-1,XXX Needs cleanup,,,
ISS_184RF_FMOVIE001_PRIME,2013-03-18 20:15:25,39.64,7.44,106.29,145.38,72.09,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_184RF_FMOVIE002_PRIME,2013-03-27 13:23:41,77.18,9.65,58.46,121.54,71.99,1,1,1,0,0,0,0,1,1,1,1,,2 BAB,,
ISS_185RI_RHYAOCC001_VIMS_1,2013-04-04 07:59:25,2.12,10.53,17.39,60.52,71.91,1,1,1,0,0,0,0,1,1,1,0,,,,
ISS_185RI_RHYAOCC001_VIMS_2,2013-04-04 13:25:17,2.06,5.53,17.21,60.63,71.91,1,1,1,0,0,0,0,1,1,1,0,,,,
ISS_189RF_FMOVIE001_PRIME,2013-05-06 12:10:05,99.18,9.37,56.64,117.08,71.56,1,2,1,1,0,0,0,1,1,1,1,,3 BA,,
