Observation,Date,Coverage,Min Res,Median Ph,Median Em,Incidence,Inertial,Nav qual,Bkgnd qual,Prometheus,Pandora,2012,2014,For Archive,For Photometry,For Width,For Clumps,Additional Comments,Prom C-S,Pan C-S,Clumps
ISS_191RF_FMOVIE002_PRIME,2013-05-27 09:05:33,95.93,7.9,89.13,140.94,71.34,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_191RI_RCASOCCB001_VIMS,2013-05-29 18:03:09,1.81,6.7,130.35,146.09,71.32,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_191RF_FMOVIE001_PRIME,2013-06-01 01:45:33,7.83,3.57,108.03,54.88,71.29,1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,Focuses on three specific co-rotating longitudes for no obvious reason,,,
ISS_193RF_FMOVIE001_PRIME_1,2013-06-19 22:58:37,54.84,8.19,72.05,133.64,71.1,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_193RF_FMOVIE001_PRIME_2,2013-06-20 06:57:01,54.57,8.03,86.16,137.77,71.09,1,1,1,0,0,0,0,1,1,1,1,,2 BAB,,
ISS_194RF_FMOVIE001_PRIME_1,2013-07-02 02:38:53,54.08,8.71,84.13,139.12,70.97,1,1,1,0,0,0,0,1,1,1,1,,2 BAN,,
ISS_194RF_FMOVIE001_PRIME_2,2013-07-02 10:36:45,54.23,10.67,79.31,135.55,70.97,1,1,1,0,0,0,0,1,1,1,1,,2 BAN,,
ISS_194RI_MUCEPOCC001_VIMS,2013-07-03 17:29:01,2.78,7.2,109.86,149.98,70.96,1,1,1,0,0,0,0,1,1,1,1,Occultation star is visible at multiple locations in the mosaic,,,
ISS_196RF_FMOVIE003_PRIME,2013-08-20 21:55:41,100,9.06,64.31,121,70.46,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_196RF_FMOVIE004_PRIME,2013-08-24 10:02:37,100,10.88,111.86,143.38,70.43,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_196RF_FMOVIE005_PRIME,2013-08-26 09:47:41,100,12.43,130.87,139.6,70.41,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_196RF_FMOVIE006_PRIME,2013-08-28 09:38:05,98.2,13.94,147.78,131.15,70.39,1,1,1,1,0,0,0,1,1,1,1,,2 BA,,
ISS_196RI_BETANDOCC001_VIMS,2013-08-29 06:11:09,3.65,15.74,149.84,131.41,70.39,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_197RF_FMOVIE007_PRIME,2013-09-07 08:26:05,77.04,9.15,109.51,51.34,70.29,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_197RI_WHYAOCC001_VIMS,2013-09-10 16:01:01,2.36,7.33,19.46,55.38,70.26,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_197RF_FMOVIE002_PRIME,2013-09-15 08:06:53,60.06,9.63,96.53,138.98,70.21,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_198RI_RLYROCC001_VIMS,2013-10-16 08:01:01,2.4,9.11,80.65,130.76,69.91,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_198RF_FMOVIE001_PRIME_1,2013-10-18 16:59:09,54.62,11.25,120.26,138.66,69.89,1,1,1,0,0,0,0,1,1,1,1,,3 BAN,,
ISS_198RF_FMOVIE001_PRIME_2,2013-10-19 00:57:01,54.82,11.43,115.61,138.85,69.89,1,2,1,0,0,0,0,1,1,1,1,,3 BAN,,
ISS_198RI_SPOKEMOV004_PRIME,2013-10-19 10:08:29,100,117.3,120.33,137.63,69.88,1,,,,,0,0,-20,0,-20,-20,"NEEDS MAJOR TUNING, very low resolution",,,
ISS_198RI_SPOKEMOV005_PRIME,2013-10-21 14:52:13,100,143.64,139.94,129.47,69.85,1,,,,,0,0,1,0,-10,-10,"Good mosaic, good background, very low resolution",,,
ISS_199RI_SPOKEMOV002_PRIME,2013-11-11 16:04:13,100,222.39,141.57,75.93,69.65,1,,,,,0,0,-20,0,-20,-20,"NEEDS MAJOR TUNING, very low resolution",,,
ISS_199RI_SPOKEMOV003_PRIME,2013-11-13 18:09:01,100,214.64,135.88,71.53,69.63,1,,,,,0,0,1,0,-10,-10,"Good mosaic, good background, very low resolution",,,
ISS_199RI_SPOKEMOV004_PRIME,2013-11-15 18:50:05,100,203.87,129.41,66.64,69.61,1,,,,,0,0,1,0,-10,-10,"Good mosaic, good background, very low resolution",,,
ISS_199RI_SPOKEMOV006_PRIME,2013-11-19 10:20:13,100,181.53,115.22,56.38,69.58,1,,,,,0,0,1,0,-10,-10,"Good mosaic, good background, very low resolution",,,
ISS_199RI_EGAPMOVMP001_PRIME,2013-11-25 04:05:17,59.8,13.17,78.33,42.3,69.53,1,,,,,0,0,1,1,-10,-10,"Good mosaic, good background, lots of stripes",,,
ISS_199RF_FMOVIE002_PRIME,2013-12-06 09:41:49,6.12,10.41,142.23,129.26,69.42,1,,,,,0,0,-1,0,0,0,REU: Follows one co-rotating longitude all the way around,,,
ISS_200RI_SPOKEMOV001_PRIME,2013-12-18 04:19:41,100,160.63,132.67,68.2,69.31,1,,,,,0,0,1,0,-10,-10,"Good mosaic, good background, very low resolution",,,
ISS_200RI_SPOKEMOV004_PRIME,2013-12-23 09:39:09,100,151.34,100.32,45.63,69.26,1,,,,,0,0,-20,0,-1,-1,"NEEDS MAJOR TUNING, very low resolution",,,
ISS_200RI_SPOKEMOV007_PRIME,2014-01-05 04:03:41,43.56,78.94,111.06,137.45,69.15,1,,,,,0,0,-20,0,-20,-20,"NEEDS MAJOR TUNING, very low resolution",,,
ISS_200RI_SPOKEMOV011_PRIME,2014-01-14 01:18:21,100,152.15,141.03,74.76,69.07,1,,,,,0,0,-1,0,-1,-1,"Needs minor tuning, background has a few glitches, very low resolution",,,
ISS_201RI_SPOKEMOV001_PRIME,2014-01-20 23:17:17,100,178.1,104.23,48.59,69,1,,,,,0,0,-20,0,-20,-20,"NEEDS MINOR TUNING, very low resolution",,,
ISS_201RI_L2PUPOCC001_VIMS_1,2014-01-22 11:16:13,5.17,16.87,97.22,48.05,69,1,,,,,0,0,1,1,1,1,"Good mosaic, good background, occultation",,,
ISS_201RI_L2PUPOCC001_VIMS_2,2014-01-23 00:14:21,3.77,24.81,97.23,48.15,68.99,1,,,,,0,0,1,1,1,1,"Good mosaic, good background, occultation",,,
ISS_201RF_FMOVIE001_PRIME_1,2014-01-29 23:03:57,51.57,11.12,41.7,46.68,68.93,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_201RF_FMOVIE001_PRIME_2,2014-01-30 06:30:53,51.71,10.56,46.95,47.87,68.92,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_201RF_FMOVIE001_VIMS,2014-02-05 17:27:57,90.75,6.19,134.89,134.81,68.86,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_201RI_SPOKEMOV009_PRIME,2014-02-12 19:17:17,100,140.72,134.62,69.86,68.8,1,,,,,0,0,1,0,-10,-10,"Good mosaic, good background, very low resolution",,,
ISS_201RI_SPOKEMOV011_PRIME,2014-02-14 17:28:29,100,159.12,124.12,62.24,68.78,1,,,,,0,0,-20,0,-20,-20,"NEEDS MINOR TUNING, very low resolution",,,
ISS_201RI_SPOKEMOV013_PRIME,2014-02-16 18:29:49,100,164.55,114.75,56.25,68.76,1,,,,,0,0,1,0,-10,-10,"Good mosaic, good background, very low resolution",,,
ISS_201RI_SPOKEMOV015_PRIME,2014-02-18 19:10:53,100,175.47,105.18,50.32,68.75,1,,,,,0,0,1,0,-10,-10,"Good mosaic, good background, very low resolution",,,
ISS_202RF_FMOVIE001_PRIME_1,2014-03-01 22:16:29,45.66,12.64,44.46,47.13,68.65,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_202RF_FMOVIE001_PRIME_2,2014-03-02 04:46:53,44.99,12.38,49.64,48.26,68.65,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_203RF_FMOVIE001_PRIME_1,2014-04-13 09:58:53,58.63,10.14,138.17,73.3,68.28,1,1,1,1,0,0,0,1,1,1,1,,,,
ISS_203RF_FMOVIE001_PRIME_2,2014-04-13 17:56:45,58.31,10.69,130.34,71.13,68.28,1,1,1,1,0,0,0,1,1,1,1,,,,
ISS_205RF_FMOVIE001_PRIME,2014-06-22 08:27:09,91.06,13.22,107.38,53.91,67.7,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_205RI_L2PUPOCC002_VIMS,2014-06-24 17:55:09,4.77,14.87,99.17,48.07,67.68,1,,,,,0,0,1,1,1,1,"Good mosaic, good background, occultation",,,
ISS_206RI_PROPRETRG001_PRIME,2014-07-16 13:24:13,3.86,10.44,51.49,115.22,67.51,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_206RI_LATPHASE001_VIMS,2014-07-16 15:05:33,4,6.5,62.1,118.44,67.51,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_206RI_BMOVIE001_PRIME,2014-07-17 13:26:21,82.21,52.64,108,137.35,67.5,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_206RI_L2PUPOCC002_VIMS,2014-07-25 22:32:29,3.82,0,99.54,48.05,67.43,1,,,,,0,0,1,1,1,1,"Good mosaic, good background, occultation",,,
ISS_207RF_FMOVIE001_PRIME,2014-08-16 11:01:17,86.87,7.88,51.89,113.26,67.26,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_208RF_FMOVIE001_PRIME_1,2014-09-20 13:16:13,35.27,6.55,137.31,129.77,67,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_208RF_FMOVIE001_PRIME_2,2014-09-20 18:29:17,18.3,8.51,136.1,117.63,67,1,1,1,0,0,0,0,1,1,1,1,,,,
ISS_208RF_FMOVIE002_PRIME_1,2014-09-26 08:25:33,51.83,13.8,118.05,62.36,66.96,1,1,1,0,0,0,0,1,1,1,1, ,3 BA,,
ISS_208RF_FMOVIE002_PRIME_2,2014-09-26 15:33:49,49.78,14.14,120.54,61.55,66.95,1,1,1,1,0,0,0,1,1,1,1, ,3 BA,,
ISS_209RF_FMOVIE001_PRIME_1,2014-10-27 01:33:17,46.22,0,133.5,71.54,66.73,1,2,1,0,0,0,0,1,1,1,1,,,,
ISS_209RF_FMOVIE001_PRIME_2,2014-10-27 07:45:01,44.08,13.56,128.34,70.75,66.73,1,2,1,0,0,0,0,1,1,1,1,,,,
ISS_211RI_EGAPMOVMP001_PRIME,2015-01-02 23:46:37,100,14.5,84.42,61.47,66.25,1,,,,,0,0,1,1,1,1,"Slight fine tuning, good background",,,
ISS_211RF_FMOVIE001_PRIME,2015-01-03 18:11:09,100,13.46,81.3,61.61,66.25,1,,,,,0,0,1,1,1,1,"Slight fine tuning, good background",,,
ISS_211RF_HIRESFRNG001_PRIME,2015-01-10 03:44:29,21.99,4.56,119.64,122.85,66.21,1,,,,,0,0,1,1,1,1,"Slight fine tuning, good background",,,
ISS_212RF_FMOVIE001_PRIME_1,2015-02-07 00:23:57,45.34,10.71,76.9,70.99,66.03,1,1,1,1,0,0,0,1,1,1,1,,2 BAR,,
ISS_212RF_FMOVIE001_PRIME_2,2015-02-07 06:36:45,44.79,10.05,83.25,71.28,66.02,1,1,1,1,0,0,0,1,1,1,1,,2 BAB,,
ISS_213RF_FMOVIE001_PRIME,2015-03-09 20:46:21,100,12.14,100.95,81.51,65.83,1,,,,,0,0,1,1,-10,-10,"Major fine tuning, good background",,,
ISS_213RF_FMOVIE002_PRIME,2015-03-10 22:27:09,94.06,10.25,95.56,81.54,65.82,1,,,,,0,0,1,1,-10,-10,"Major fine tuning, good background",,,
ISS_231RI_EGAPMOVMP001_PRIME,2016-02-06 01:18:20,98.08,13.69,102.41,80.95,64.16,1,,,,,0,0,1,1,-1,-1,MESS,,,
ISS_232RF_FMOVIE001_PRIME,2016-02-10 00:41:00,95.63,11.48,85.39,76.85,64.15,1,,,,,0,0,1,1,-10,-10,"Slight fine tuning, good background",,,
ISS_232RI_PROPRETRG001_PRIME,2016-02-13 12:37:16,2.81,13.96,57.54,71.05,64.13,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_232RI_EGAPMOVMP001_PRIME_1,2016-02-21 02:05:16,95.63,14.19,107.7,78.32,64.1,1,2,1,1,0,0,0,1,-1,-1,-1,,3 B,,
ISS_232RI_EGAPMOVMP001_PRIME_2,2016-02-21 15:15:08,43.74,14.52,100.33,77.81,64.11,1,1,1,1,0,0,0,1,1,1,1,,3 B,,
ISS_233RF_FMOVIE001_PRIME_1,2016-03-06 01:38:04,52.79,10.52,57.68,68.1,64.05,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_233RF_FMOVIE001_PRIME_2,2016-03-06 09:03:24,7.97,10.75,47.86,68.27,64.06,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_233RI_HIRESAFRG001_PRIME,2016-03-10 00:05:48,9.44,2.04,87.72,111.23,64.04,1,,,,,0,0,1,1,1,1,"Good mosaic, background encroaches",,,
ISS_234RF_FMOVIE001_PRIME,2016-04-01 01:26:20,43.97,6.11,37.67,69.28,63.96,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_234RI_EGAPMOVMP001_PRIME,2016-04-07 23:05:00,90.07,13.08,108.48,74.84,63.94,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_235RF_FMOVIE001_PRIME,2016-05-01 13:42:20,89.13,8.45,23.81,65.88,63.87,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_235RF_FMOVIE002_PRIME_1,2016-05-09 19:29:32,51.82,0,105.85,69.65,63.84,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_235RF_FMOVIE002_PRIME_2,2016-05-10 02:30:52,48.27,14.83,98.18,69.03,63.84,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_236RF_FMOVIE002_PRIME,2016-06-10 12:09:00,100,11.55,97.26,64.36,63.75,1,,,,,0,0,1,1,-10,-10,"Major fine tuning, good background",,,
ISS_237RI_EGAPMOVMP001_PRIME,2016-07-01 23:54:04,86.52,8.14,131.26,81.07,63.69,1,,,,,0,0,-20,0,0,0,REAL MESS,,,
ISS_239RF_FMOVIE001_PRIME,2016-08-02 13:36:28,96.65,9.81,50.48,41.08,63.62,1,,,,,0,0,1,1,1,1,"Slight fine tuning, good background",,,
ISS_239RI_HIRESAFRG001_PRIME_1,2016-08-07 15:05:00,29.08,3.3,82.44,129.4,63.61,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_239RI_HIRESAFRG001_PRIME_2,2016-08-07 19:22:36,10,6.65,104.5,125.56,63.6,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_239RF_FMOVIE002_PRIME_1,2016-08-12 12:44:44,52.31,9.05,114.8,65.66,63.59,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_239RF_FMOVIE002_PRIME_2,2016-08-12 20:09:32,36.28,9.73,104.77,63.95,63.59,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_240RF_FMOVIE002_PRIME,2016-08-23 01:03:56,57.26,8.05,132.39,79.23,63.57,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_241RF_FMOVIE001_PRIME,2016-08-29 18:07:56,100,5.16,23.02,42.67,63.55,1,,,,,0,0,1,1,-1,-1,"MAJOR FINE TUNING, lots of little stripes",,,
ISS_242RF_FMOVIE001_PRIME,2016-09-17 00:59:40,100,10.38,110.94,67.96,63.52,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_243RF_FMOVIE001_PRIME_1,2016-09-22 09:59:56,44.91,6.09,36.32,38.34,63.51,1,,,,,0,0,1,1,1,1,"Good mosaic, background encroachment",,,
ISS_243RF_FMOVIE001_PRIME_2,2016-09-22 17:06:36,43.88,5.05,44.45,37.61,63.5,1,,,,,0,0,1,1,1,1,"Good mosaic, good background, lots of stripes",,,
ISS_244RI_PROPRETRG001_PRIME,2016-10-06 10:30:20,14.77,0,143.21,94.34,63.48,0,,,,,0,0,1,1,-1,-1,"Good mosaic, good background",,,
ISS_245RI_HIRESAFRG002_PRIME,2016-10-14 11:43:56,16.47,3.8,163.95,128.61,63.47,1,,,,,0,0,1,1,-10,-10,"Good mosaic, good background, a couple of missing stripes",,,
ISS_246RF_FMOVIE002_PRIME,2016-10-27 16:29:48,100,9.8,113.06,66.74,63.44,1,,,,,0,0,1,1,-10,-10,"Slight fine tuning, good background",,,
ISS_253RF_FMOVIE001_PRIME_1,2016-12-16 22:09:00,2.13,8.17,120.5,64.01,63.37,1,,,,,0,0,1,1,-10,-10,"Good mosaic, good background",,,
ISS_253RF_FMOVIE001_PRIME_2,2016-12-17 00:10:04,100,5.34,116.11,59.53,63.37,1,,,,,0,0,1,1,-10,-10,"Slight fine tuning, good background",,,
ISS_253RF_FMOVIE001_PRIME_3,2016-12-17 15:51:24,2.3,5.11,99.53,54.46,63.37,1,,,,,0,0,1,1,-10,-10,"Good mosaic, good background",,,
ISS_253RI_HIRESAFRG001_PIE,2016-12-18 18:57:00,1.32,1.51,39.84,51.52,63.37,1,,,,,0,0,1,1,-10,-10,"Good mosaic, background encroaches",,,
ISS_256RF_FMOVIE001_PRIME_1,2017-01-07 17:49:47,52.88,5.53,115.46,58.36,63.34,1,,,,,0,0,1,1,-10,-10,"Slight fine tuning, good background",,,
ISS_256RF_FMOVIE001_PRIME_2,2017-01-08 01:40:11,52.66,6.01,101.68,56.42,63.34,1,,,,,0,0,1,1,-10,-10,"Major fine tuning, good background",,,
ISS_256RI_HIRESAFRG002_PRIME,2017-01-09 21:10:19,1.64,2.8,158.75,137.1,63.34,0,,,,,0,0,1,0,-10,-10,"Good mosaic, good background",,,
ISS_260RF_FMOVIE001_PRIME,2017-02-05 04:25:31,100,5.25,117.63,59.85,63.31,1,,,,,0,0,1,1,-10,-10,"Slight fine tuning, good background",,,
ISS_260RI_HIRESAFRG001_PRIME,2017-02-06 19:18:19,1.46,2.27,81.1,35.56,63.31,1,,,,,0,0,1,1,-10,-10,"Good mosaic, good background",,,
ISS_262RF_FMOVIE001_PRIME_1,2017-02-19 14:45:15,3.84,6.57,112.75,62.1,63.31,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_2,2017-02-19 15:32:11,3.54,8.14,112.36,61.25,63.31,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_3,2017-02-19 15:55:39,3.36,8.94,112.19,60.43,63.31,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_4,2017-02-19 16:20:11,3.23,9.58,112.21,59.75,63.31,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_5,2017-02-19 16:43:39,3.14,10.03,112.39,59.15,63.31,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_6,2017-02-19 17:07:07,3.19,9.69,114.28,58.13,63.31,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_7,2017-02-19 18:40:59,2.99,9.13,115.03,58.18,63.3,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_8,2017-02-19 19:06:35,2.22,11.26,113.25,62.98,63.3,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_9,2017-02-19 22:05:47,3.64,8.27,118.97,61.68,63.3,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_10,2017-02-19 22:29:15,3.52,9.45,118.8,61.95,63.3,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_262RF_FMOVIE001_PRIME_11,2017-02-19 23:16:11,3.33,11.68,118.08,62.34,63.3,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_265RF_FMOVIE001_PRIME,2017-03-12 00:02:03,30.84,7.83,132.92,73.48,63.29,1,,,,,0,0,1,1,-10,-10,"Slight fine tuning, good background",,,
ISS_268RF_FMOVIE001_PRIME_1,2017-04-03 23:55:39,2.36,5.58,117.52,58.64,63.28,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_268RF_FMOVIE001_PRIME_2,2017-04-04 04:29:47,3.28,6.33,103.93,48.34,63.28,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_268RF_FMOVIE001_PRIME_3,2017-04-04 06:34:35,2.18,4.72,100.03,52.59,63.28,1,,,,,0,0,1,1,-1,-1,MAJOR FINE TUNING,,,
ISS_272RF_FMOVIE001_PRIME,2017-05-01 01:44:27,55.07,5.92,135.14,74.02,63.27,1,,,,,0,0,1,1,1,1,"Slight fine tuning, good background",,,
ISS_274RF_FMOVIE001_PRIME,2017-05-13 13:46:35,37.04,6.74,139.21,77.29,63.27,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_274RF_FMOVIE002_PRIME,2017-05-14 00:07:23,78.72,5.71,127.58,72.21,63.27,1,,,,,0,0,1,1,1,1,"Slight fine tuning, good background",,,
IOSIC_276RB_COMPLITB4001_SI,2017-05-26 20:28:43,91.78,56.75,129.16,72.68,63.27,1,,,,,0,0,1,0,0,0,"Good mosaic, good background, very low resolution",,,
ISS_276RI_HIRESAFRG001_PRIME,2017-05-28 01:29:31,20.15,3.07,118.38,57.79,63.27,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_277RI_HIRESAFRG001_PRIME,2017-06-03 15:40:43,13.14,2.35,96.71,48.43,63.27,1,,,,,0,0,1,1,0,0,"Good mosaic, background encroaches",,,
ISS_283RA_COMPLITA2001_CIRS,2017-07-12 01:23:07,34.62,38.69,119.08,62.12,63.28,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_286RI_CASDIVLIT001_CIRS,2017-07-31 00:06:19,5.93,11.33,128.64,66.34,63.29,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_286RI_PROPRETRG001_PRIME,2017-07-31 01:04:59,3.89,5.95,128.88,68.26,63.29,1,,,,,0,0,1,0,0,0,"Good mosaic, background encroaches too much",,,
ISS_287RI_COMPLITCD001_CIRS,2017-08-06 05:17:47,4.7,6.04,133.34,71.83,63.29,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_287RI_PROPRETRG001_PRIME,2017-08-07 10:03:39,3.68,2.01,91.77,39.17,63.29,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_289RF_FMOVIE001_PRIME,2017-08-18 21:23:07,100,5.32,134.44,71.5,63.3,1,,,,,0,0,1,1,1,1,"Slight fine tuning, good background",,,
ISS_292RF_FMOVIE001_PRIME,2017-09-06 11:47:07,100,7.2,140.29,77.05,63.31,1,,,,,0,0,1,1,1,1,"Major fine tuning, good background",,,
ISS_292RI_CASDIVLIT001_CIRS,2017-09-07 17:20:59,2.83,10.44,130.01,67.02,63.31,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
ISS_292RI_PROPRETRG001_PRIME,2017-09-07 21:22:03,5.31,5.18,129.38,67.17,63.31,1,,,,,0,0,1,1,1,1,"Good mosaic, good background",,,
